AOA(degree),CD fuselage
-3,1.09772930642648
-2,0.966861588191946
-1,0.912286010481752
0,1.43503182176476
1,1.47969149099275
2,1.47681937385259
3,1.51226473965977
4,1.58961759412047
5,1.65013911689155
6,1.73599865607844
7,1.91684734681638
8,2.15954001699492
9,2.5188153414432
10,3.0308065774895

