m_empty|m_boom|m_wing|Lw|Lh|span|AR|taper|twist|Sref|alpha_list|AOA_stall|AOA_takeoff_max|AOA_climb_max|AOA_turn_max|CL|CD_wing|CD_fuse|CD_total|CL_flap_max|CL_flap_zero|CD_flap_max|CD_flap_zero|aircraft.m_fuselage|aircraft.wing_area_blocked_by_fuselage|aircraft.wing_density|aircraft.mainwing_span|aircraft.mainwing_AR|aircraft.mainwing_taper|aircraft.mainwing_twist|aircraft.mainwing_sweepback|aircraft.mainwing_dihedral|aircraft.mainwing_incidence|aircraft.flap_start|aircraft.flap_end|aircraft.flap_angle|aircraft.flap_c_ratio|aircraft.horizontal_volume_ratio|aircraft.horizontal_area_ratio|aircraft.horizontal_AR|aircraft.horizontal_taper|aircraft.horizontal_ThickChord|aircraft.vertical_volume_ratio|aircraft.vertical_taper|aircraft.vertical_ThickChord|aircraft.mainwing_airfoil_datapath|aircraft.horizontal_airfoil_datapath|aircraft.vertical_airfoil_datapath|hash|m_x1|x1_time_margin|throttle_takeoff|max_climb_angle|max_load|h_flap_transition|number_of_motor|min_battery_voltage|score_weight_ratio|M2_propeller_data_path|M3_propeller_data_path|battery_data_path|Kv|R|number_of_battery|n_cell|battery_Wh|max_current|max_power|timestamp|fuel_weight|flight_time|N_laps|objective_2|objective_3|MTOW|M2_max_speed|M3_max_speed|mission2_climb_thrust_ratio|mission2_turn_thrust_ratio|mission2_level_thrust_ratio|mission3_climb_thrust_ratio|mission3_turn_thrust_ratio|mission3_level_thrust_ratio|resultID
5152.403943327376|193.46674792658257|1758.9371954007936|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.01227243468258404, 0.06564909796698681, 0.14730825288455204, 0.22359362482739376, 0.30001719719068193, 0.37723534999165625, 0.45494171834588604, 0.5327256763817843, 0.6112852563154642, 0.689923823570844, 0.7687455420913883, 0.8476973251176354, 0.9277550424005572, 1.0079339113182295]|[0.013909949636189372, 0.014232178550023202, 0.015306196799766825, 0.017035568301458106, 0.0195424547481895, 0.02285996712696333, 0.026984009022074193, 0.031900270115668615, 0.03765276820205154, 0.04420584695237232, 0.05156875369260302, 0.05973902514915766, 0.06881487563187004, 0.07872026595649378]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06196780939423345, 0.06116362943641876, 0.062328919934407444, 0.06263906366181217, 0.06656517788283013, 0.06979141801335889, 0.07504186878011826, 0.0824163057036888, 0.09009210119785904, 0.09937368745412231, 0.11248373673426647, 0.12836647413800012, 0.14885963979315098, 0.17503546370918177]|1.2686584250059505|0.6093824339741123|0.231971882809244|0.0906862608564297|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/e852.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'906064105907332090'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:31|2.847596056672624|97.9999999999987|7|0.0640418541725157|11.671506352087114|8.0|35.0|28.0|0.9|0.7|0.7|0.9|0.6|0.6|'5378718707662091087'
5152.403943327376|193.46674792658257|1758.9371954007936|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.01227243468258404, 0.06564909796698681, 0.14730825288455204, 0.22359362482739376, 0.30001719719068193, 0.37723534999165625, 0.45494171834588604, 0.5327256763817843, 0.6112852563154642, 0.689923823570844, 0.7687455420913883, 0.8476973251176354, 0.9277550424005572, 1.0079339113182295]|[0.013909949636189372, 0.014232178550023202, 0.015306196799766825, 0.017035568301458106, 0.0195424547481895, 0.02285996712696333, 0.026984009022074193, 0.031900270115668615, 0.03765276820205154, 0.04420584695237232, 0.05156875369260302, 0.05973902514915766, 0.06881487563187004, 0.07872026595649378]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06196780939423345, 0.06116362943641876, 0.062328919934407444, 0.06263906366181217, 0.06656517788283013, 0.06979141801335889, 0.07504186878011826, 0.0824163057036888, 0.09009210119785904, 0.09937368745412231, 0.11248373673426647, 0.12836647413800012, 0.14885963979315098, 0.17503546370918177]|1.2686584250059505|0.6093824339741123|0.231971882809244|0.0906862608564297|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/e852.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'906064105907332090'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:35|2.847596056672624|97.9999999999987|6|0.0640418541725157|10.671506352087114|8.0|35.0|30.0|0.9|0.7|0.7|0.9|0.6|0.6|'10318652582053793751'
5093.625785201193|193.46674792658257|1700.159037274611|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.04832320355217294, 0.12598282527691432, 0.20934642868196376, 0.2849779372071431, 0.3609458465725606, 0.4380225446860504, 0.515682750978131, 0.5935052272927231, 0.6720477100490597, 0.7507409975625062, 0.8296175795187765, 0.9086217060846483, 0.9887970794833115, 1.0690924371006612]|[0.014252181301785748, 0.015303127807154874, 0.01704316313822566, 0.019323164523310333, 0.022384435521158215, 0.026279023664271862, 0.030989507923822036, 0.03650229354477051, 0.04285361003318977, 0.05001184167374579, 0.0579829819265754, 0.06676413465658342, 0.07646752573425578, 0.08700329192879962]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06231004105982983, 0.062234578693550424, 0.06406588627286627, 0.06492665988366439, 0.06940715865579884, 0.07321047455066741, 0.07904736768186611, 0.08701832913279069, 0.09529294302899727, 0.10517968217549578, 0.11889796496823885, 0.1353915836454259, 0.15651228989553673, 0.18331848968148762]|1.3242309012160856|0.6666802675852253|0.2422050868240173|0.0961471229976167|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'422752584820773751'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:38|2.9063742147988068|97.39999999999874|7|0.0657664144703968|11.671506352087114|8.0|35.0|28.0|0.9|0.7|0.7|0.9|0.6|0.6|'13433913038408247171'
5093.625785201193|193.46674792658257|1700.159037274611|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.04832320355217294, 0.12598282527691432, 0.20934642868196376, 0.2849779372071431, 0.3609458465725606, 0.4380225446860504, 0.515682750978131, 0.5935052272927231, 0.6720477100490597, 0.7507409975625062, 0.8296175795187765, 0.9086217060846483, 0.9887970794833115, 1.0690924371006612]|[0.014252181301785748, 0.015303127807154874, 0.01704316313822566, 0.019323164523310333, 0.022384435521158215, 0.026279023664271862, 0.030989507923822036, 0.03650229354477051, 0.04285361003318977, 0.05001184167374579, 0.0579829819265754, 0.06676413465658342, 0.07646752573425578, 0.08700329192879962]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06231004105982983, 0.062234578693550424, 0.06406588627286627, 0.06492665988366439, 0.06940715865579884, 0.07321047455066741, 0.07904736768186611, 0.08701832913279069, 0.09529294302899727, 0.10517968217549578, 0.11889796496823885, 0.1353915836454259, 0.15651228989553673, 0.18331848968148762]|1.3242309012160856|0.6666802675852253|0.2422050868240173|0.0961471229976167|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'422752584820773751'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:41|2.9063742147988068|97.39999999999874|7|0.0657664144703968|11.671506352087114|8.0|35.0|30.0|0.9|0.7|0.7|0.9|0.6|0.6|'17743455219801521605'
5116.547943611942|193.46674792658257|1723.081195685359|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-6.048204827919736e-05, 0.07758278607437331, 0.1595997790497623, 0.23599326860695782, 0.3124587557589524, 0.38974236436669535, 0.46749333165994394, 0.5453312843395903, 0.6238841777680458, 0.7025421500686522, 0.7813772292934164, 0.8603350445326068, 0.9404092704099507, 1.0205806466022358]|[0.013828465495238175, 0.014296353913305374, 0.0155177623828249, 0.017379021333308653, 0.020016939708942996, 0.02346940973809377, 0.02772922689266581, 0.03278299314617677, 0.03867025331224511, 0.045359627616393935, 0.052858183628283706, 0.06116281909534045, 0.07037505185803593, 0.08041279297457762]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.061886325253282255, 0.06122780479970093, 0.06254048551746552, 0.06298251669366271, 0.06703966284358362, 0.07040086062448933, 0.07578708665070988, 0.08329902873419695, 0.09110958630805262, 0.10052746811814393, 0.11377316666994716, 0.12979026808418292, 0.15041981601931687, 0.1767279907272656]|1.2816738642617038|0.623335507231081|0.2344188471681777|0.0918919518187113|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/s4062.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'4582665606240805629'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:44|2.883452056388058|97.59999999999872|7|0.0651140197979442|11.671506352087114|8.0|35.0|28.0|0.9|0.7|0.7|0.9|0.6|0.6|'6920068685528429202'
5116.547943611942|193.46674792658257|1723.081195685359|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-6.048204827919736e-05, 0.07758278607437331, 0.1595997790497623, 0.23599326860695782, 0.3124587557589524, 0.38974236436669535, 0.46749333165994394, 0.5453312843395903, 0.6238841777680458, 0.7025421500686522, 0.7813772292934164, 0.8603350445326068, 0.9404092704099507, 1.0205806466022358]|[0.013828465495238175, 0.014296353913305374, 0.0155177623828249, 0.017379021333308653, 0.020016939708942996, 0.02346940973809377, 0.02772922689266581, 0.03278299314617677, 0.03867025331224511, 0.045359627616393935, 0.052858183628283706, 0.06116281909534045, 0.07037505185803593, 0.08041279297457762]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.061886325253282255, 0.06122780479970093, 0.06254048551746552, 0.06298251669366271, 0.06703966284358362, 0.07040086062448933, 0.07578708665070988, 0.08329902873419695, 0.09110958630805262, 0.10052746811814393, 0.11377316666994716, 0.12979026808418292, 0.15041981601931687, 0.1767279907272656]|1.2816738642617038|0.623335507231081|0.2344188471681777|0.0918919518187113|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/s4062.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'4582665606240805629'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:48|2.883452056388058|97.59999999999872|6|0.0651140197979442|10.671506352087114|8.0|35.0|30.0|0.9|0.7|0.7|0.9|0.6|0.6|'9262377478886842239'
4899.560785437243|193.46674792658257|1506.0940375106609|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.23252819125344346, -0.15459867637491329, -0.0787651834559998, 0.0, 0.07791773440957632, 0.15563038285374564, 0.23348643460167226, 0.3113383876115795, 0.38965113832548465, 0.46803749085604796, 0.546603673277462, 0.6253173811589428, 0.7048945431866598, 0.784594949952349]|[0.01680449774873756, 0.014851938476273602, 0.013749491845651853, 0.013375461832326983, 0.013781515313404673, 0.014970497861259714, 0.01694785988354738, 0.0197091071253657, 0.023271530168994758, 0.027629126606843635, 0.03278566825606929, 0.03874094787833792, 0.04555000277405439, 0.05317519560274146]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06486235750678164, 0.06178338936266915, 0.06077221498029248, 0.05897895719268104, 0.0608042384480453, 0.06190194874765527, 0.06500571964159145, 0.07022514271338587, 0.07571086316480226, 0.08279696710859363, 0.09370065129773274, 0.10736839686718039, 0.12559476693533533, 0.14949039335542946]|1.0655238135844076|0.4024693714488059|0.1989142566554519|0.0750645116407193|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/s9027.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'221865644810706721'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:52|3.100439214562757|106.9999999999982|7|0.0638632526065087|11.671506352087114|8.0|35.0|28.0|0.9|0.7|0.7|0.9|0.6|0.6|'4792178171117585118'
4899.560785437243|193.46674792658257|1506.0940375106609|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.23252819125344346, -0.15459867637491329, -0.0787651834559998, 0.0, 0.07791773440957632, 0.15563038285374564, 0.23348643460167226, 0.3113383876115795, 0.38965113832548465, 0.46803749085604796, 0.546603673277462, 0.6253173811589428, 0.7048945431866598, 0.784594949952349]|[0.01680449774873756, 0.014851938476273602, 0.013749491845651853, 0.013375461832326983, 0.013781515313404673, 0.014970497861259714, 0.01694785988354738, 0.0197091071253657, 0.023271530168994758, 0.027629126606843635, 0.03278566825606929, 0.03874094787833792, 0.04555000277405439, 0.05317519560274146]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06486235750678164, 0.06178338936266915, 0.06077221498029248, 0.05897895719268104, 0.0608042384480453, 0.06190194874765527, 0.06500571964159145, 0.07022514271338587, 0.07571086316480226, 0.08279696710859363, 0.09370065129773274, 0.10736839686718039, 0.12559476693533533, 0.14949039335542946]|1.0655238135844076|0.4024693714488059|0.1989142566554519|0.0750645116407193|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/s9027.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'221865644810706721'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:55|3.100439214562757|106.9999999999982|6|0.0638632526065087|10.671506352087114|8.0|35.0|30.0|0.9|0.7|0.7|0.9|0.6|0.6|'10525152201132799690'
5140.780180141961|193.46674792658257|1747.3134322153787|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.02100348448753967, 0.05674354502903257, 0.1382296284805498, 0.2147951259163381, 0.29137111734917337, 0.3686656495883581, 0.4464114339546883, 0.5242337462087671, 0.602784577130087, 0.6813658817093199, 0.7602245416474775, 0.8391601052222297, 0.9191891688397106, 0.9993221599847432]|[0.013847757295375853, 0.014066322142028, 0.015057089279319823, 0.01671884965968649, 0.019156118896979744, 0.022401150557617225, 0.026450938526132305, 0.031292566830044645, 0.03696640010997517, 0.04343585971528357, 0.050722175224629934, 0.05880968550925379, 0.06779916289301936, 0.07761409858868538]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06190561705341993, 0.06099777302842355, 0.06207981241396045, 0.062322345020040554, 0.06617884203162037, 0.06933260144401278, 0.07450879828417638, 0.08180860241806481, 0.08940573310578268, 0.09860370021703357, 0.11163715826629339, 0.12743713449809627, 0.14784392705430033, 0.17392929634137339]|1.262069920886352|0.6031323312783868|0.2308402940131406|0.0900475544961297|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/hq3010.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1357371996300065597'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:08:59|2.8592198198580387|97.69999999999872|7|0.0645007214223869|11.671506352087114|8.0|35.0|28.0|0.9|0.7|0.7|0.9|0.6|0.6|'998013462576044156'
5140.780180141961|193.46674792658257|1747.3134322153787|-33.82088466136493|917.1225115650504|1799.9999999999998|5.259740545482349|0.65|0.0|611320.7547169812|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.02100348448753967, 0.05674354502903257, 0.1382296284805498, 0.2147951259163381, 0.29137111734917337, 0.3686656495883581, 0.4464114339546883, 0.5242337462087671, 0.602784577130087, 0.6813658817093199, 0.7602245416474775, 0.8391601052222297, 0.9191891688397106, 0.9993221599847432]|[0.013847757295375853, 0.014066322142028, 0.015057089279319823, 0.01671884965968649, 0.019156118896979744, 0.022401150557617225, 0.026450938526132305, 0.031292566830044645, 0.03696640010997517, 0.04343585971528357, 0.050722175224629934, 0.05880968550925379, 0.06779916289301936, 0.07761409858868538]|[0.04805785975804408, 0.046931450886395554, 0.04702272313464062, 0.04560349536035406, 0.04702272313464063, 0.046931450886395554, 0.04805785975804407, 0.050516035588020175, 0.052439332995807504, 0.05516784050175, 0.06091498304166345, 0.06862744898884247, 0.08004476416128095, 0.09631519775268799]|[0.06190561705341993, 0.06099777302842355, 0.06207981241396045, 0.062322345020040554, 0.06617884203162037, 0.06933260144401278, 0.07450879828417638, 0.08180860241806481, 0.08940573310578268, 0.09860370021703357, 0.11163715826629339, 0.12743713449809627, 0.14784392705430033, 0.17392929634137339]|1.262069920886352|0.6031323312783868|0.2308402940131406|0.0900475544961297|3000|72640|8.52e-05|1800.0|5.3|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/hq3010.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1357371996300065597'|200|10|0.9|40|30|5|2|21.8|0.5|data/propDataCSV/PER3_8x6E.csv|data/propDataCSV/PER3_8x6E.csv|data/batteryDataCSV/Maxamps_2250mAh_6S.csv|109.91|0.062|2|6|49.95|60|1332|2025-01-31 17:09:02|2.8592198198580387|97.69999999999872|6|0.0645007214223869|10.671506352087114|8.0|35.0|30.0|0.9|0.7|0.7|0.9|0.6|0.6|'6398139662941219753'
