m_empty|m_boom|m_wing|Lw|Lh|span|AR|taper|twist|Sref|alpha_list|AOA_stall|AOA_takeoff_max|AOA_climb_max|AOA_turn_max|CL|CD_wing|CD_fuse|CD_total|CL_flap_max|CL_flap_zero|CD_flap_max|CD_flap_zero|aircraft.m_fuselage|aircraft.wing_area_blocked_by_fuselage|aircraft.wing_density|aircraft.mainwing_span|aircraft.mainwing_AR|aircraft.mainwing_taper|aircraft.mainwing_twist|aircraft.mainwing_sweepback|aircraft.mainwing_dihedral|aircraft.mainwing_incidence|aircraft.flap_start|aircraft.flap_end|aircraft.flap_angle|aircraft.flap_c_ratio|aircraft.horizontal_volume_ratio|aircraft.horizontal_area_ratio|aircraft.horizontal_AR|aircraft.horizontal_taper|aircraft.horizontal_ThickChord|aircraft.vertical_volume_ratio|aircraft.vertical_taper|aircraft.vertical_ThickChord|aircraft.mainwing_airfoil_datapath|aircraft.horizontal_airfoil_datapath|aircraft.vertical_airfoil_datapath|hash
5102.639136120959|186.2593908357805|1716.3797452851786|-36.95467067367896|879.4089656899573|1800.0|5.458221320783572|0.65|0.0|589090.9090909091|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.1789681009582622, 0.26129390368996613, 0.3473355750564718, 0.4204511222919758, 0.49668030849640804, 0.5747550853505897, 0.6545178544652487, 0.7337312004067258, 0.8134131940257906, 0.8943913082143042, 0.9744490114343851, 1.0546360722587216, 1.1348474006294744, 1.2161579138192689]|[0.016945349917828, 0.019431773617216444, 0.0225331066275002, 0.025808103354376295, 0.02999335947445575, 0.03507151326561195, 0.04103252667667067, 0.04776342976508775, 0.05531210600136542, 0.06376212388251808, 0.0729299395521799, 0.08289807542696322, 0.0936566232226719, 0.10534603694814834]|[0.04987136389985708, 0.048702449033052, 0.048797165517079896, 0.04732438197772592, 0.0487971655170799, 0.048702449033052, 0.04987136389985707, 0.05242230108190774, 0.054418175750366296, 0.05724964580370284, 0.06321366164700926, 0.07121716404502522, 0.08306532129944252, 0.09994973351694039]|[0.06681671381768509, 0.06813422265026844, 0.0713302721445801, 0.07313248533210222, 0.07879052499153566, 0.08377396229866395, 0.09090389057652774, 0.1001857308469955, 0.10973028175173172, 0.12101176968622092, 0.13614360119918917, 0.15411523947198844, 0.17672194452211443, 0.20529577046508873]|1.454302314002151|0.7766297573591083|0.2676659706815585|0.1110779831849858|3000|72640|8.52e-05|1800.0|5.5|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1587354189423277633'
5044.577390012453|186.2593908357805|1658.3179991766729|-36.95467067367896|879.4089656899573|1800.0|5.458221320783572|0.65|0.0|589090.9090909091|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.020761154789162392, 0.05897298230768498, 0.14088237428566813, 0.21730245861821065, 0.29478740064656944, 0.37313853886187787, 0.4525486266091279, 0.531765779460638, 0.6112667467765995, 0.6917651004185666, 0.7716659293302328, 0.851711241262075, 0.93182336931658, 1.0128710766548925]|[0.013873988234017628, 0.014072296666963358, 0.01503266900588711, 0.01664068536068138, 0.01904217954443338, 0.022245255990131753, 0.02626852126639995, 0.031068279262956296, 0.03666411336231881, 0.043115338223250615, 0.05031237678993901, 0.0583026983216436, 0.06708304248824296, 0.07675933755261091]|[0.04987136389985708, 0.048702449033052, 0.048797165517079896, 0.04732438197772592, 0.0487971655170799, 0.048702449033052, 0.04987136389985707, 0.05242230108190774, 0.054418175750366296, 0.05724964580370284, 0.06321366164700926, 0.07121716404502522, 0.08306532129944252, 0.09994973351694039]|[0.06374535213387471, 0.06277474570001536, 0.063829834522967, 0.0639650673384073, 0.06783934506151329, 0.07094770502318376, 0.07613988516625703, 0.08349058034486403, 0.09108228911268511, 0.10036498402695346, 0.11352603843694827, 0.12951986236666882, 0.15014836378768548, 0.1767090710695513]|1.270038164591387|0.5890825447465853|0.2326668463947348|0.0917367675629078|3000|72640|8.52e-05|1800.0|5.5|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/hq3010.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'2168516036165373368'
5078.469655631652|184.53920256656423|1693.9304530650882|-37.702826793735895|870.4052813143721|1800.0|5.507841514608877|0.65|0.0|583783.7837837838|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.17996393874579847, 0.26311645300883296, 0.3493870473133076, 0.42195378969859876, 0.4984964411857023, 0.5769077662658486, 0.6560436757700544, 0.736463369081325, 0.8164177544731107, 0.8975671168648114, 0.977955488449117, 1.0583487776897653, 1.1388331993326644, 1.2195951496941617]|[0.016977783436478665, 0.019459097450088073, 0.022525252060905585, 0.025755483642802873, 0.02993393941749794, 0.0350055480146262, 0.040905435884541715, 0.047670831034331555, 0.055201263716517644, 0.06362112855051581, 0.07277114722059602, 0.08270852544524526, 0.09343873412610779, 0.10499349556733094]|[0.05032473993531033, 0.04914519856971611, 0.04924077611268972, 0.04775460363206889, 0.049240776112689726, 0.04914519856971611, 0.05032473993531032, 0.052898867455379625, 0.05491288643900599, 0.057770097129191046, 0.06378833129834571, 0.07186459280907091, 0.0838204605839829, 0.10085836745800349]|[0.06730252337178899, 0.06860429601980418, 0.0717660281735953, 0.07351008727487177, 0.07917471553018766, 0.08415074658434231, 0.09123017581985204, 0.10056969848971117, 0.11011415015552364, 0.12139122567970687, 0.13655947851894173, 0.1545731182543162, 0.1772591947100907, 0.20585186302533443]|1.457756679930256|0.7776249909897577|0.2682060094851068|0.1114651711119126|3000|72640|8.52e-05|1800.0|5.55|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'7863652824428480116'
5021.449270548987|184.53920256656423|1636.9100679824232|-37.702826793735895|870.4052813143721|1800.0|5.507841514608877|0.65|0.0|583783.7837837838|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[-0.020609516065403732, 0.05956814005439092, 0.14178333972142398, 0.21808845095690232, 0.29585015146832716, 0.374496090468406, 0.4535848743623441, 0.5336717339124186, 0.613439126891829, 0.6941292598511795, 0.7743383627931224, 0.854603649111356, 0.9349805515763592, 1.0156369208524045]|[0.013864333039398696, 0.01406912695623016, 0.0150242541204364, 0.016619579363220813, 0.019016026790676117, 0.022212955672663258, 0.02620008325384053, 0.031015495491687257, 0.036597455019302276, 0.04302870693597041, 0.05020902176823462, 0.0581775861916119, 0.0669334100568421, 0.07650802296203858]|[0.05032473993531033, 0.04914519856971611, 0.04924077611268972, 0.04775460363206889, 0.049240776112689726, 0.04914519856971611, 0.05032473993531032, 0.052898867455379625, 0.05491288643900599, 0.057770097129191046, 0.06378833129834571, 0.07186459280907091, 0.0838204605839829, 0.10085836745800349]|[0.06418907297470902, 0.06321432552594627, 0.06426503023312612, 0.0643741829952897, 0.06825680290336585, 0.07135815424237937, 0.07652482318915085, 0.08391436294706689, 0.09151034145830828, 0.10079880406516145, 0.11399735306658033, 0.13004217900068282, 0.15075387064082502, 0.17736639042004207]|1.2731620891319237|0.58964378720505|0.23333266656022444|0.09219969851494891|3000|72640|8.52e-05|1800.0|5.55|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/hq3010.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1497356930537743781'
